ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Categories,Room,Store,"Affiliate Tags",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Logo,Favicon,"Primary Color","Secondary Color","Tertiary Color","Facebook Url","Instagram Url","Pinterest Url","Mailchimp Url","Modal Kicker","Modal Title","Modal Description","Modal Embed Code","Filter ID",Kicker,"Display Title",Intro,Hero,"Filter ID","Page Sections","Etsy Link","Etsy Link Text","Etsy Link Description",Gallery,"Featured Affiliates","Affiliate Link","Affiliate Link Text","Affiliate Link Description","Website Link","Website Link Text","Featured Banner Image","Featured Work Image"
24,"Rust-Oleum Tub & Tile Paint","<ul>
 	<li><span class=""a-list-item"">Prepare and paint surface the same day with a tough, 2-part epoxy acrylic formula that withstands moisture and resists corrosion</span></li>
 	<li><span class=""a-list-item"">For best results, thoroughly mix parts A and B separately before mixing together for 2 minutes--once combined be sure to use within 6 hours of mixing</span></li>
 	<li><span class=""a-list-item"">Each kit covers up to 110 sq ft; two coats highly recommended; wait 1-2 hours to recoat allow to dry for 3 days before exposing to water</span></li>
 	<li><span class=""a-list-item"">Make sure to adequately ventilate the area by opening windows and turning on a fan to circulate air</span></li>
 	<li><span class=""a-list-item"">Properly prep surface and read all directions included in kit thoroughly before beginning project</span></li>
</ul>",,2020-01-28,affiliate,https://thehappyglamper.co/affiliate/rust-oleum-tub-tile-paint/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/10Z875_AS01.jpg,10Z875_AS01,,,,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/10Z875_AS01.jpg,,"Camper>2005 Keystone Hornet",Bathroom,Amazon,Paint|Shower,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,rust-oleum-tub-tile-paint,,,0,0,0,closed,closed,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2O7ufFg,,,,,,
26,"Foldable Handwoven Storage Basket","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Dimensions: 13.25"" x 13.25"" x 8"" H (each basket)</span></li>
 	<li><span class=""a-list-item"">2 pack of matching storage baskets</span></li>
 	<li><span class=""a-list-item"">Baskets fold flat for easy storage when not in use</span></li>
 	<li><span class=""a-list-item"">Tightly hand-woven water hyacinth over a sturdy steel frame</span></li>
 	<li><span class=""a-list-item"">Ideal for use in your bedroom, closet, bathroom, laundry room, kitchen or living room</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/foldable-handwoven-storage-basket/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51LiwyClDIL.jpg,51LiwyClDIL,,,"Wooven Basket",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51LiwyClDIL.jpg,,"Camper>2005 Keystone Hornet",Any,Amazon,Storage,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,foldable-handwoven-storage-basket,,,0,0,0,closed,closed,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2tOETcB,,,,,,
28,"Fabric Shower Curtain Liner","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Premium Polyester Fabric Shower Curtains</span></li>
 	<li><span class=""a-list-item"">Imported</span></li>
 	<li><span class=""a-list-item"">Stall Fabric Shower Liner: 120 Gsm and made of 100% premium heavyweight polyester fabric, odorless, PVC-free, no chlorine and durable</span></li>
 	<li><span class=""a-list-item"">Water Repellent and Machine Washable: The coating fabric ensures the water beads stay on the surface and quick to repel, and easier to dry.</span></li>
 	<li><span class=""a-list-item"">6 Reinforced Metal Grommets: Reinforced top header with 6 Rustproof Metal grommets prevent it from tearing and make it easy to pair with any hooks of your choice so you can add a colorful accent to your bathroom.</span></li>
 	<li><span class=""a-list-item"">No Chemical Smells: Don’t expose your family to harmful chemicals. Without the vinyl and PVC smell like normal plastic liners, this fabric shower liner is good and safe for your family health;</span></li>
 	<li><span class=""a-list-item"">Multi-Purpose: The package includes 1 shower liner measuring 36 x 72 inch. It works with both straight and curved shower rods. This versatile shower liner can be used as a standalone shower curtain or as a shower liner for a decorative shower curtain.</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/fabric-shower-curtain-liner/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/516O1Wz34kL._SX679_-e1578875484409.jpg,516O1Wz34kL._SX679_,,,"Shower Liner",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/516O1Wz34kL._SX679_-e1578875484409.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Bathroom,Amazon,"Shower|Shower Curtains",publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,fabric-shower-curtain-liner,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2FFHsAm,,,,,,
30,"Kicker 6 1/2"" Speakers","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Pair of Kicker 41KM604W 6.5"" 4-Ohm 2-Way Coaxial Marine Speakers</span></li>
 	<li><span class=""a-list-item"">Power Handling Per Speaker: 150 Watts Peak/50 Watts RMS</span></li>
 	<li><span class=""a-list-item"">Power Handling Per Pair: 300 Watts Peak/100 Watts RMS</span></li>
 	<li><span class=""a-list-item"">2-Way Design</span></li>
 	<li><span class=""a-list-item"">Santoprene surrounds</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/kicker-6-1-2-speakers/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/41DqxS-EP3L.jpg,41DqxS-EP3L,,,"Kicker 6.5"" Speaker",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/41DqxS-EP3L.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Any,Amazon,Stereos,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,kicker-6-1-2-speakers,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2QMdSPZ,,,,,,
32,"Shower Curtain with Tassels","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">100% Polyester</span></li>
 	<li><span class=""a-list-item"">KEEPS WATER INSIDE -- NEW resin coating technology keeps water slide off the stall shower curtain. No liner required.</span></li>
 	<li><span class=""a-list-item"">YOUR STYLE OUTSIDE -- This boho shower curtain with adorable white pom pom trim on the bottom. Pure white base color means that it will work with most color schemes.</span></li>
 	<li><span class=""a-list-item"">180 GSM FABRIC -- Durable but soft feeling fabric with 180 GSM means very heavy duty, which ensures a bathroom curtain last longer and will be more pricey.</span></li>
 	<li><span class=""a-list-item"">VISIBLE WEIGHTED HEM -- We added a visible weighted hem to this single shower curtain, keeps it from flying up like some lighter curtains do.</span></li>
 	<li><span class=""a-list-item"">EASY CARE &amp; CONVENIENT -- Machine Wash and dry. Built-in metal ring holes make installation easy (rings included).</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/shower-curtain-with-tassels/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51awj60fNqL.jpg,51awj60fNqL,,,"Shower Curtain",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51awj60fNqL.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Bathroom,Amazon,"Favorites|Shower|Shower Curtains",publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,shower-curtain-with-tassels,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2FLtkpn,,,,,,
34,"DVD, Bluetooth, MP3 Stereo System","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">SUPERIOR PERFORMANCE: With a power output of 4 x 15W, a built-in DVD player, and a 4"" LCD, this next generation 2-Zone entertainment system is designed to deliver a personalized audiovisual experience</span></li>
 	<li><span class=""a-list-item"">EASY CONNECTIVITY &amp; MOBILE APP: Quickly connect with the Furrion Entertainment System using Bluetooth, NFC quick-touch, or through ""Furrion ES Control"" mobile app. The mobile app allows you to control multi-room play using the intuitive system controls</span></li>
 	<li><span class=""a-list-item"">SUPPORTED FORMATS &amp; CONNECTIONS: Plays CD/DVD Disc formats and supports MP3, WMA, MP4, and AVI media formats. Includes AM &amp; FM Radio functionality with 30 preset stations. Additionally supports USB Media input (with USB charging), AUX-In (with video support), Headphone Jack, and subwoofer connection</span></li>
 	<li><span class=""a-list-item"">DURABLE &amp; RELIABLE: Designed with Furrion's VibrationSmart, ClimateSmart &amp; SignalSmart Technology, this entertainment system is built to withstand constant vibrations &amp; extreme climates</span></li>
 	<li><span class=""a-list-item"">COMPACT &amp; STYLISH: This powerful RV stereo is as stylish as it is seamless. Clear white Illuminitaion on LCD seamlessly blends in with the overall design of the product</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/dvd-bluetooth-mp3-stereo-system/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/boss-stereo.jpg|https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/31w3ToIF1RL.jpg,boss-stereo|31w3ToIF1RL,|,|,"Boss Stereo|Furrion DVD, Bluetooth Stereo",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/boss-stereo.jpg,,"Camper>2005 Keystone Hornet","Living Room",Amazon,Stereos,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,dvd-bluetooth-mp3-stereo-system,,,0,0,0,closed,closed,2020-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2RPFdA5,,,,,,
36,"Matte Black Exposed Shower Faucet","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">ANTI SCALD VALVE: Advanced pressure balance ceramic disc cartridge with cUPC certification can effectively protect you from scalding injury caused by sudden changes in hot or cold water pressure, maintaining consistent water temperature.</span></li>
 	<li><span class=""a-list-item"">BRASS FAUCET BODY: Faucet body is made from STURDY BRASS (non-plastics), ensuring high quality and longevity.</span></li>
 	<li><span class=""a-list-item"">FLEXIBLE TWO-HOLE INSTALLATION: Your hole center distance can be 5.4-inch to 6.5-inch (135mm to 165mm). With our adjustable S-Union adaptor (1/2 NPT tapered threads), you can install this exposed shower system easily.</span></li>
 	<li><span class=""a-list-item"">ADJUSTABLE SLIDE BAR: Slide bar made of durable and rust-proof Stainless Steel can be adjusted freely up and down to satisfy every family member's need. Extra thick bar will not be bent or dent easily. Adjustable shower riser allows for an adjustable overall height of OVERHEAD SHOWERS.</span></li>
 	<li><span class=""a-list-item"">2-FUNCTION DIVERTER: Choose between 8"" RAINFALL overhead shower and fashionable hand shower with one switch. Our faucet body comes with built-in diverter. No need to pay money for extra parts! NOTICE: This shower system is NOT designed for outdoor use.</span></li>
</ul>",,2020-01-13,affiliate,https://thehappyglamper.co/affiliate/matte-black-exposed-shower-faucet/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51RUAbNrpCL._SX679_.jpg,51RUAbNrpCL._SX679_,,,"Matte Black Exposed Shower Faucet",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/51RUAbNrpCL._SX679_.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Bathroom,Amazon,Faucets|Favorites|Shower,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,matte-black-exposed-shower-faucet,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2Ra8BRd,,,,,,
38,"Iron Mirror with Shelf","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">This handsome mirror offers function as well as style. A shelf on the bottom is ideal for small things such as keys or decorative items. The arced top is an antique-look element, while dark bronzed iron framing gives it modern and industrial style.</span></li>
 	<li><span class=""a-list-item"">Antique, modern and industrial elements allow it to blend anywhere</span></li>
 	<li><span class=""a-list-item"">Glass, iron with bronze finish</span></li>
 	<li><span class=""a-list-item"">20.25""W x 5.5""D x 30""H</span></li>
 	<li><span class=""a-list-item"">Avoid moisture. Wipes clean with soft, dry cloth. Hanging hardware not included.</span></li>
</ul>",,2020-01-05,affiliate,https://thehappyglamper.co/affiliate/iron-mirror-with-shelf/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/81bwvy6NFmL._SX679_.jpg,"Iron Mirror with Shelf",,,"Iron Mirror with Shelf",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/81bwvy6NFmL._SX679_.jpg,,Camper,Bathroom,Amazon,Favorites|Mirrors,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,iron-mirror-with-shelf,,,0,0,0,closed,closed,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2trgPMT,,,,,,
40,"Matte Black Cabinet Door Hinges","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Hinge Type: OVERLAY hinge, used for Face Frame Overlay Cabinet.</span></li>
 	<li><span class=""a-list-item"">Dimension: As Picture 6# shown</span></li>
 	<li><span class=""a-list-item"">QTY: 15 Pairs(for 15 doors)</span></li>
 	<li><span class=""a-list-item"">Circle Test: 350,000 times open &amp; close</span></li>
 	<li><span class=""a-list-item"">Thanks for choosing us.We have been producing this kind of hinges for more than 10 years</span></li>
</ul>",,2020-01-05,affiliate,https://thehappyglamper.co/affiliate/matte-black-cabinet-door-hinges/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/hinge.jpg,hinge,,,,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/hinge.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Kitchen,Amazon,"Cabinets|Matte Black",publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,matte-black-cabinet-door-hinges,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2tsLrh4,,,,,,
42,"Magnetic Cabinet Latches","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">LONG-LASTING DURABILITY: 304 stainless steel housings, specifically designed to stand up to marine use, outdoor use or wet environments like kitchens and bathrooms.This magnetic shutter catch is more long-lasting than the plastic one</span></li>
 	<li><span class=""a-list-item"">POWERFUL MAGNETIC FORCE: Each mount houses a single magnet with strong force that holds the cabinet door, drawer, lid securely closed. Good for using on the door which the latch is useless.</span></li>
 	<li><span class=""a-list-item"">HIGH QUALITY SCREWS: Stainless steel mounting screws are included. You don't need worry about the screw will easily broken on installation process again.</span></li>
 	<li><span class=""a-list-item"">NARROW GAP: Strike plates are 3/62 inch (1.2mm) thick and can be recessed to reduce the gap between cabinet and door</span></li>
 	<li><span class=""a-list-item"">WHAT YOU GET:12 * Mganetic Cabinet Catch; Screws.</span></li>
</ul>",,2020-01-05,affiliate,https://thehappyglamper.co/affiliate/magnetic-cabinet-latches/,https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/61H7Y97EObL._SX679_.jpg,"12 Pack of magnetic cabinet latches",,,"12 Pack of magnetic cabinet latches",https://thehappyglamper.co/wp-content/uploads/sites/2/2020/01/61H7Y97EObL._SX679_.jpg,,"Camper>2005 Keystone Hornet|Camper>2007 Keystone Hornet",Bathroom|Kitchen,Amazon,Cabinets,publish,1,kcahill,kelscahill@gmail.com,Kelsey,Cahill,magnetic-cabinet-latches,,,0,0,0,closed,closed,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,https://amzn.to/2MSukfe,,,,,,
